subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
kartik,1,1,0.097739935,0.241737366,0.143997431,0.104170084,0.183440447,0.079270363,0.102400065,0.281289816,0.178889751,0.092888594,0.32239461,0.229506016,0.080181599,0.368347645,0.288166046,0.121708632,0.149398804,0.027690172,0.098065376,0.100243568,0.002178192,0.089969397,0.08223176,-0.007737637,0.089617729,0.135615587,0.045997858,0.092678785,0.20089674,0.108217955,0.102321625
kartik,1,2,0.102349043,0.230485678,0.128136635,0.097083807,0.133810759,0.036726952,0.108119965,0.140715838,0.032595873,0.091186523,0.232043028,0.140856504,0.097095728,0.393121719,0.296025991,0.091712952,0.136577845,0.044864893,0.084946871,0.101614475,0.016667604,0.086329699,0.070313692,-0.016016006,0.095217228,0.14601326,0.050796032,0.089093685,0.280403376,0.191309691,0.110563994
kartik,1,3,0.101795435,0.956868649,0.855073214,0.087984324,0.121598959,0.033614635,0.108201027,0.637615919,0.529414892,0.101860762,0.766091824,0.664231062,0.088098764,0.467211247,0.379112482,0.107849598,0.174275875,0.066426277,0.079428434,0.110180855,0.03075242,0.092163801,0.110766411,0.01860261,0.091855526,0.192279816,0.10042429,0.092150927,0.262474775,0.170323849,0.111403227
kartik,1,4,0.107638359,0.500303507,0.392665148,0.081787825,0.113004923,0.031217098,0.093403339,0.152958393,0.059555054,0.092716455,0.2482903,0.155573845,0.09613061,0.522355318,0.426224709,0.109255791,0.1787076,0.069451809,0.080751657,0.127171993,0.046420336,0.096122503,0.110806704,0.0146842,0.07690239,0.165278673,0.088376284,0.094763517,0.229970932,0.135207415,0.097278833
kartik,1,5,0.094465971,0.230913878,0.136447907,0.10205102,0.121424437,0.019373417,0.103837013,0.130858183,0.02702117,0.102090597,0.23914218,0.137051582,0.091300249,0.437887907,0.346587658,0.115499973,0.156651259,0.041151285,0.088363171,0.11227417,0.023910999,0.097077608,0.089561701,-0.007515907,0.107290506,0.158869267,0.05157876,0.106750011,0.363044739,0.256294727,0.111081123
kartik,1,1,0.092566729,0.260841847,0.168275118,0.096563578,0.141389132,0.044825554,0.103883266,0.170662403,0.066779137,0.104043484,0.351153374,0.24710989,0.088067293,0.444386721,0.356319428,0.101284266,0.127795219,0.026510954,0.093608379,1.319303274,1.225694895,0.093454361,0.11063385,0.017179489,0.082517862,0.160622835,0.078104973,0.106930018,0.248246908,0.141316891,0.104306698
kartik,1,2,0.100559712,0.236459255,0.135899544,0.095766783,0.140225172,0.044458389,0.089932203,0.164541721,0.074609518,0.098264217,0.250905514,0.152641296,0.101952314,0.403935671,0.301983357,0.110275984,0.136676073,0.026400089,0.086912632,0.081729412,-0.00518322,0.10166502,0.089660645,-0.012004375,0.086028576,0.132324696,0.04629612,0.089002371,0.199445009,0.110442638,0.128464699
kartik,1,3,0.114413023,0.228304386,0.113891363,0.090335846,0.127632856,0.03729701,0.09113884,0.120640039,0.0295012,0.087093592,0.202898264,0.115804672,0.081963539,0.400494099,0.31853056,0.108076572,0.169148207,0.061071634,0.088110924,0.090991735,0.002880812,0.094500065,0.099485159,0.004985094,0.090965271,0.149268389,0.058303118,0.086967945,0.268657923,0.181689978,0.101780653
kartik,1,4,0.103861094,0.217833996,0.113972902,0.083778143,0.142307282,0.058529139,0.097052813,0.150655508,0.053602695,0.092774153,0.244843245,0.152069092,0.089225054,0.403213024,0.31398797,0.122089863,0.164588451,0.042498589,0.09873724,0.102837563,0.004100323,0.084811211,0.094493628,0.009682417,0.085060835,0.156085968,0.071025133,0.11093688,0.258430481,0.147493601,0.105590344
kartik,1,5,0.117971897,0.273671389,0.155699492,0.072715521,0.108169079,0.035453558,0.088314533,0.081395864,-0.006918669,0.131129503,0.275919437,0.144789934,0.085855007,0.45195818,0.366103172,0.105088234,0.154147387,0.049059153,0.090856314,0.084116697,-0.006739616,0.106170654,0.09321785,-0.012952805,0.096592903,0.16953969,0.072946787,0.092741013,0.186998367,0.094257355,0.121435165
kartik,1,1,0.116643906,0.222267628,0.105623722,0.10843873,0.12930584,0.020867109,0.104527473,0.126475811,0.021948338,0.095658302,0.235060692,0.13940239,0.087037325,0.449760199,0.362722874,0.108148813,0.181179524,0.07303071,0.080665112,0.090951681,0.01028657,0.096297026,0.142721176,0.04642415,0.075002909,0.212701321,0.137698412,0.087255716,0.270263434,0.183007717,0.113161326
kartik,1,2,0.115096331,0.288072109,0.172975779,0.098090887,0.135077953,0.036987066,0.098339558,0.13559556,0.037256002,0.096391678,0.330705404,0.234313726,0.087960005,0.427541256,0.339581251,0.120037317,0.174970627,0.05493331,0.074086189,0.092489958,0.018403769,0.116740704,0.110568523,-0.00617218,0.071495771,0.138407946,0.066912174,0.084756374,0.187833786,0.103077412,0.103964806
kartik,1,3,0.114476204,0.191987753,0.077511549,0.087153673,0.120211363,0.03305769,0.096915007,0.124058485,0.027143478,0.11121583,0.310240269,0.199024439,0.057886362,0.372973442,0.31508708,0.118234396,0.159422636,0.04118824,0.090837717,0.095263481,0.004425764,0.098680973,0.112766266,0.014085293,0.090974092,0.511214733,0.420240641,0.095591068,0.213035107,0.117444038,0.104741097
kartik,1,4,0.103711844,0.177707434,0.07399559,0.094810009,0.130432606,0.035622597,0.0963943,0.118503332,0.022109032,0.089727402,1.010741234,0.921013832,0.093216658,0.378806353,0.285589695,0.110817909,0.167691469,0.05687356,0.096549273,0.1001091,0.003559828,0.099479914,0.107929707,0.008449793,0.083706617,0.137171269,0.053464651,0.099111319,0.200010538,0.10089922,0.103933096
kartik,1,5,0.088801146,0.139742851,0.050941706,0.09082365,0.127690315,0.036866665,0.109167814,0.579828978,0.470661163,0.111018181,0.242304564,0.131286383,0.098958254,0.633108378,0.534150124,0.107674122,0.147999525,0.040325403,0.091579437,0.110556364,0.018976927,0.117182016,0.085078239,-0.032103777,0.090260267,0.152957201,0.062696934,0.095519543,0.25117445,0.155654907,0.07879138
kartik,1,6,0.10441494,0.207065344,0.102650404,0.122134447,0.152397871,0.030263424,0.09484911,0.136860132,0.042011023,0.093223333,0.360434055,0.267210722,0.08653903,0.439806223,0.353267193,0.106044769,0.131579161,0.025534391,0.091210604,0.106179237,0.014968634,0.092864752,0.094815254,0.001950502,0.087209702,0.158647776,0.071438074,0.091856003,0.191528797,0.099672794,0.106713772
kartik,1,7,0.133165121,0.215211153,0.082046032,0.083283901,0.115163088,0.031879187,0.110664368,0.132179022,0.021514654,0.102517366,0.317521811,0.215004444,0.107505083,0.375150204,0.267645121,0.115553618,0.141805887,0.02625227,0.084985971,0.100833893,0.015847921,0.110126495,0.102493525,-0.007632971,0.078638077,0.136650801,0.058012724,0.096401453,0.225529432,0.129127979,0.089514971
kartik,1,8,0.076683521,0.17896533,0.102281809,0.072219849,0.14314723,0.070927382,0.083211184,0.14950347,0.066292286,0.089665413,0.219848394,0.130182982,0.08625412,0.402641296,0.316387177,0.114200592,0.16680193,0.052601337,0.085880756,0.106039047,0.020158291,0.092992544,0.082995892,-0.009996653,0.090815544,0.142155647,0.051340103,0.116108894,0.204352856,0.088243961,0.1194489
kartik,1,9,0.096401215,0.154440165,0.05803895,0.080289841,0.122540712,0.042250872,0.091213226,0.099645376,0.00843215,0.096681356,0.221953154,0.125271797,0.079295874,0.35082674,0.271530867,0.12937212,0.177762508,0.048390388,0.072773695,0.08823204,0.015458345,0.098977804,0.112522602,0.013544798,0.074407816,0.131645203,0.057237387,0.097985506,0.166755915,0.068770409,0.108001471
kartik,1,10,0.098567486,0.138393402,0.039825916,0.090046644,0.126968622,0.036921978,0.108104944,0.117125273,0.009020329,0.088682175,0.203047037,0.114364862,0.108961821,0.392192841,0.28323102,0.109946251,0.145272493,0.035326242,0.085285664,0.094229698,0.008944035,0.093294621,0.097349644,0.004055023,0.07746768,0.132681608,0.055213928,0.095026731,0.176850557,0.081823826,0.121035814
kartik,1,11,0.118028641,0.405108213,0.287079573,0.102641106,0.11455369,0.011912584,0.09332633,0.139433861,0.046107531,0.115632296,0.224860668,0.109228373,0.112267971,0.466444254,0.354176283,0.119547606,0.452898741,0.333351135,0.096717596,0.121215105,0.024497509,0.10694027,0.098256588,-0.008683681,0.101771832,0.150322676,0.048550844,0.111845732,0.319740534,0.207894802,0.117780685
kartik,1,12,0.102855444,0.221296787,0.118441343,0.081762791,0.11975646,0.03799367,0.092934847,0.138128996,0.045194149,0.103223562,0.27066946,0.167445898,0.083814859,0.40870595,0.32489109,0.121871471,0.162873983,0.041002512,0.096087456,0.088172674,-0.007914782,0.107399464,0.095962048,-0.011437416,0.093487501,0.14317131,0.049683809,0.098932505,0.208626032,0.109693527,0.110118628
kartik,1,13,0.105037212,0.1934371,0.088399887,0.070486307,0.115374327,0.04488802,0.082211494,0.099163771,0.016952276,0.098155022,0.611670733,0.513515711,0.079453707,0.373735428,0.294281721,0.102084398,0.144880295,0.042795897,0.093994617,0.099913359,0.005918741,0.096672535,0.0727911,-0.023881435,0.083079338,0.122540712,0.039461374,0.101859331,0.18516922,0.083309889,0.085752487
kartik,1,14,0.123611927,0.422760725,0.299148798,0.105676413,0.152052403,0.04637599,0.090420485,0.523988009,0.433567524,0.09124589,0.223363876,0.132117987,0.094187737,0.340649605,0.246461868,0.116246462,0.146122694,0.029876232,0.086318493,0.100456953,0.01413846,0.100550413,0.094064951,-0.006485462,0.08026123,0.140902996,0.060641766,0.087570429,0.163878918,0.076308489,0.091867924
kartik,1,15,0.109041691,0.176297903,0.067256212,0.088665724,0.145247698,0.056581974,0.095191956,0.108513117,0.013321161,0.082923174,0.192340136,0.109416962,0.092966557,0.428324461,0.335357904,0.09897542,0.143923998,0.044948578,0.097206116,0.089028835,-0.00817728,0.103874683,0.0901196,-0.013755083,0.085886478,0.123556376,0.037669897,0.094225407,0.15282464,0.058599234,0.107659817
